needle_type,needle_material,stitches
fixed,bamboo,540
fixed,metal,552
fixed,acrylic,580
fixed,bamboo,726
fixed,metal,540
fixed,acrylic,490
fixed,bamboo,662
fixed,metal,555
fixed,acrylic,499
fixed,bamboo,565
fixed,metal,478
fixed,acrylic,435
fixed,bamboo,556
fixed,metal,446
straight,acrylic,430
straight,bamboo,886
straight,metal,428
straight,acrylic,497
straight,bamboo,701
straight,metal,499
straight,acrylic,567
straight,bamboo,876
straight,metal,554
straight,acrylic,539
straight,bamboo,835
straight,metal,552
straight,acrylic,676
DPN,bamboo,865
DPN,metal,673
DPN,acrylic,666
DPN,bamboo,814
DPN,metal,492
DPN,acrylic,568
DPN,bamboo,817
DPN,metal,574
DPN,acrylic,515
DPN,bamboo,808
DPN,metal,446
DPN,acrylic,474
interchangeable,bamboo,863
interchangeable,metal,442
interchangeable,acrylic,928
interchangeable,bamboo,777
interchangeable,metal,485
interchangeable,acrylic,452
interchangeable,bamboo,594
interchangeable,metal,505
interchangeable,acrylic,589
interchangeable,bamboo,779
interchangeable,metal,484
interchangeable,acrylic,608
interchangeable,bamboo,828
interchangeable,metal,524
other,acrylic,703
other,bamboo,789
other,metal,663
other,acrylic,571
